Date,Temperature,Max Temperature,Lowest Temperature
2024/7/28,32.3,38.3,28.0
2024/7/29,32.4,39.4,26.3
2024/7/30,31.5,36.7,28.3
2024/7/31,31.4,36.8,28.2
2024/8/1,31.4,38.3,25.7
2024/8/2,32.4,38.7,27.0
2024/8/3,32.6,38.7,28.1
2024/8/4,30.5,35.8,25.8
2024/8/5,30.9,35.5,27.2
2024/8/6,30.8,36.4,27.0
2024/8/7,30.2,36.7,26.6
2024/8/8,30.2,36.6,24.2
2024/8/9,30.5,37.5,25.4
2024/8/10,29.8,34.9,26.1
2024/8/11,29.8,36.0,25.5
2024/8/12,29.8,34.9,25.4
2024/8/13,31.1,37.6,26.1
2024/8/14,31.4,37.9,26.7
2024/8/15,30.6,36.8,27.1
2024/8/16,29.2,32.9,27.2
2024/8/17,28.7,33.4,25.9
2024/8/18,30.7,37.1,25.1
2024/8/19,28.6,32.2,25.7
2024/8/20,27.0,32.7,23.5
2024/8/21,30.2,35.9,25.4
2024/8/22,31.7,37.9,26.8
2024/8/23,32.0,38.0,28.0
2024/8/24,31.2,37.7,27.4
2024/8/25,29.0,36.4,25.1
2024/8/26,29.3,35.0,25.5
2024/8/27,29.5,35.5,27.0
2024/8/28,28.4,32.7,25.8
2024/8/29,27.0,28.8,25.0
2024/8/30,30.2,34.8,27.0
2024/8/31,26.9,28.6,25.0
2024/9/1,27.2,31.8,23.9
2024/9/2,29.3,35.1,24.9
2024/9/3,27.3,31.6,24.7
2024/9/4,27.7,33.6,22.9
2024/9/5,28.7,34.8,24.0
2024/9/6,29.4,36.1,24.2
2024/9/7,29.8,35.6,24.8
2024/9/8,29.9,35.3,25.6
2024/9/9,30.2,36.0,25.4
2024/9/10,29.3,33.8,27.1
2024/9/11,30.7,36.6,25.8
2024/9/12,30.3,35.7,27.6
2024/9/13,30.3,36.3,27.0
2024/9/14,30.3,35.2,26.8
2024/9/15,30.5,35.6,27.5
2024/9/16,30.5,34.5,27.3
2024/9/17,30.9,36.4,26.5
2024/9/18,31.2,36.5,27.6
2024/9/19,31.2,36.3,27.5
2024/9/20,31.0,36.9,27.7
2024/9/21,29.9,33.4,28.5
2024/9/22,26.2,29.6,23.2
2024/9/23,24.6,29.0,21.7
2024/9/24,25.0,30.4,20.8
2024/9/25,25.2,29.9,21.3
2024/9/26,26.6,33.1,21.1
2024/9/27,26.7,31.5,23.5
2024/9/28,26.5,29.6,25.1
2024/9/29,25.1,27.0,23.7
2024/9/30,25.4,29.7,23.0
2024/10/1,26.0,32.5,21.1
2024/10/2,25.4,30.9,21.7
2024/10/3,21.7,23.6,20.9
2024/10/4,22.3,24.3,21.0
2024/10/5,22.6,27.7,19.4
2024/10/6,23.9,30.9,17.4
2024/10/7,23.4,28.8,20.1
2024/10/8,20.5,24.3,17.5
2024/10/9,20.8,26.3,17.3
2024/10/10,21.3,26.6,17.6
2024/10/11,20.3,26.3,16.0
2024/10/12,20.6,27.3,15.1
2024/10/13,21.4,28.6,16.0
2024/10/14,22.7,28.8,17.3
2024/10/15,22.9,25.7,20.6
2024/10/16,23.7,26.9,20.9
2024/10/17,23.6,29.5,18.9
2024/10/18,24.2,27.1,21.8
2024/10/19,22.8,26.5,18.2
2024/10/20,17.6,21.1,15.3
2024/10/21,19.7,24.6,14.6
2024/10/22,21.5,23.5,18.3
2024/10/23,24.6,28.9,21.6
2024/10/24,21.0,24.3,18.2
2024/10/25,20.3,25.6,17.7
2024/10/26,20.8,24.3,17.7
2024/10/27,22.1,26.3,18.1
2024/10/28,18.9,21.5,17.1
2024/10/29,17.9,19.2,16.9
2024/10/30,18.2,22.3,14.8
2024/10/31,16.8,21.1,12.3
2024/11/1,19.8,23.1,16.5
2024/11/2,19.4,20.6,18.1
2024/11/3,18.0,22.7,13.0
2024/11/4,17.5,25.0,11.2
2024/11/5,17.5,22.2,14.4
2024/11/6,15.7,20.0,12.8
2024/11/7,12.9,14.8,10.6
2024/11/8,11.8,18.1,7.8
2024/11/9,13.2,20.9,7.2
2024/11/10,16.3,22.3,9.7
2024/11/11,17.9,22.8,13.8
2024/11/12,16.9,23.7,11.6
2024/11/13,15.9,20.9,12.2
2024/11/14,15.6,20.1,10.3
2024/11/15,17.4,20.1,15.5
2024/11/16,17.6,19.6,14.3
2024/11/17,19.6,23.1,16.0
2024/11/18,13.0,17.2,8.0
2024/11/19,9.0,12.6,6.8
2024/11/20,10.6,15.3,6.6
2024/11/21,11.5,18.2,6.6
2024/11/22,12.0,18.4,6.9
2024/11/23,10.0,14.0,7.5
2024/11/24,9.0,12.1,5.7
2024/11/25,10.6,16.0,7.1
2024/11/26,14.7,18.6,9.4
2024/11/27,13.3,15.8,11.4
2024/11/28,10.2,14.4,6.6
2024/11/29,9.3,14.5,5.9
2024/11/30,9.7,14.2,5.6
2024/12/1,10.2,16.4,5.0
2024/12/2,10.7,17.1,5.5
2024/12/3,12.1,18.7,7.2
2024/12/4,10.1,14.1,6.1
2024/12/5,8.5,13.6,4.4
2024/12/6,9.0,14.2,3.9
2024/12/7,8.5,13.3,3.8
2024/12/8,7.0,11.0,5.0
2024/12/9,6.7,11.4,3.5
2024/12/10,7.6,12.4,4.0
2024/12/11,7.7,14.2,4.1
2024/12/12,5.9,10.3,3.4
2024/12/13,7.0,12.0,2.8
2024/12/14,5.2,7.8,3.1
2024/12/15,5.6,9.9,1.6
2024/12/16,7.8,12.3,3.7
2024/12/17,7.2,12.3,2.7
2024/12/18,6.3,11.3,2.5
2024/12/19,3.8,7.4,2.3
2024/12/20,4.2,8.3,1.2
2024/12/21,6.1,11.3,1.6
2024/12/22,5.1,8.3,3.0
2024/12/23,5.6,9.2,2.5
2024/12/24,5.9,9.3,3.7
2024/12/25,6.5,10.8,3.0
2024/12/26,9.0,13.9,6.5
2024/12/27,7.1,11.3,4.2
2024/12/28,4.8,9.3,1.6
2024/12/29,4.6,9.1,0.3
2024/12/30,5.3,11.4,0.8
2024/12/31,6.6,14.0,4.0
2025/1/1,5.9,12.1,1.9
2025/1/2,6.2,12.3,1.1
2025/1/3,6.4,11.0,3.5
2025/1/4,5.0,9.1,2.6
2025/1/5,4.6,10.0,0.1
2025/1/6,6.1,8.0,3.6
2025/1/7,5.4,9.3,1.9
2025/1/8,3.4,8.0,0.3
2025/1/9,2.7,8.0,-0.6
2025/1/10,1.1,4.7,-2.0
2025/1/11,3.6,7.2,1.0
2025/1/12,4.2,9.2,1.7
2025/1/13,4.5,9.8,0.7
2025/1/14,5.7,10.5,0.2
2025/1/15,5.6,9.4,2.5
2025/1/16,4.7,8.3,1.5
2025/1/17,4.5,8.0,2.4
2025/1/18,5.4,10.8,2.3
2025/1/19,7.5,14.7,1.8
2025/1/20,9.0,13.5,6.4
2025/1/21,8.0,12.9,4.2
2025/1/22,6.5,12.6,2.0
2025/1/23,7.6,14.0,2.7
2025/1/24,8.0,14.6,3.7
2025/1/25,6.1,10.3,3.3
2025/1/26,5.3,10.5,2.2
2025/1/27,6.0,9.7,1.9
2025/1/28,6.5,9.7,3.4
2025/1/29,5.0,9.3,2.3
2025/1/30,3.6,7.0,0.9
2025/1/31,4.8,8.8,1.5
2025/2/1,6.1,9.7,3.0
2025/2/2,7.6,11.0,4.9
2025/2/3,7.7,11.5,4.1
2025/2/4,2.9,7.1,-0.3
2025/2/5,0.4,5.3,-1.9
2025/2/6,1.2,6.2,-2.7
2025/2/7,1.3,6.2,-2.0
2025/2/8,-0.2,4.0,-3.4
2025/2/9,2.3,7.1,-1.5
2025/2/10,2.9,8.8,-1.8
2025/2/11,3.6,7.4,0.8
2025/2/12,3.4,6.1,-0.7
2025/2/13,5.1,7.5,2.0
2025/2/14,4.8,10.8,0.1
2025/2/15,7.2,14.1,0.3
2025/2/16,8.7,12.7,6.1
2025/2/17,5.4,10.6,1.7
2025/2/18,2.8,7.0,0.2
2025/2/19,2.1,5.7,0.4
2025/2/20,2.6,7.1,-0.8
2025/2/21,2.9,7.0,-0.2
2025/2/22,2.1,6.1,-0.2
2025/2/23,2.9,8.6,-0.5
2025/2/24,2.1,6.0,-0.2
2025/2/25,5.3,10.9,1.4
2025/2/26,7.7,13.2,4.1
2025/2/27,8.1,15.2,1.9
2025/2/28,10.0,13.4,7.0
2025/3/1,12.3,19.4,7.7
2025/3/2,12.9,14.1,11.4
2025/3/3,7.7,11.6,5.6
2025/3/4,6.0,8.3,3.7
2025/3/5,9.6,11.9,7.4
2025/3/6,6.8,10.6,3.6
2025/3/7,4.5,8.1,2.5
2025/3/8,5.0,11.1,0.9
2025/3/9,6.4,12.9,1.2
2025/3/10,8.8,16.4,1.6
2025/3/11,9.9,11.7,7.9
2025/3/12,13.2,18.1,8.1
2025/3/13,12.6,18.1,7.6
2025/3/14,10.4,18.5,5.5
2025/3/15,7.1,8.9,5.3
2025/3/16,9.0,11.2,6.8
2025/3/17,6.0,9.6,3.1
2025/3/18,6.2,13.0,0.9
2025/3/19,4.2,7.5,1.8
2025/3/20,5.5,11.5,0.0
2025/3/21,10.1,17.9,2.7
2025/3/22,14.5,22.6,6.2
2025/3/23,15.5,24.0,8.6
2025/3/24,15.2,23.0,10.2
2025/3/25,17.3,25.6,10.2
2025/3/26,17.0,23.0,13.0
2025/3/27,17.6,24.7,11.6
2025/3/28,14.8,19.2,8.6
2025/3/29,9.5,13.6,7.2
2025/3/30,7.2,11.2,4.2
2025/3/31,7.5,13.0,2.7
2025/4/1,10.2,14.6,5.6
2025/4/2,12.2,15.9,9.0
2025/4/3,11.3,16.6,8.7
2025/4/4,9.8,14.7,6.9
2025/4/5,11.6,17.9,4.3
2025/4/6,14.4,21.9,10.4
2025/4/7,13.6,19.6,8.2
2025/4/8,14.7,23.7,7.4
2025/4/9,15.2,22.5,9.5
2025/4/10,16.0,21.3,11.4
2025/4/11,15.4,21.6,12.1
2025/4/12,16.4,23.9,9.0
2025/4/13,14.0,17.3,9.3
2025/4/14,12.3,19.0,6.1
2025/4/15,11.5,15.4,8.4
2025/4/16,12.8,19.7,5.3
2025/4/17,18.2,26.5,10.1
2025/4/18,20.7,26.8,15.3
2025/4/19,22.2,29.6,16.4
2025/4/20,20.7,24.9,17.3
2025/4/21,18.4,26.3,12.1
2025/4/22,19.9,26.2,13.6
2025/4/23,19.0,22.6,15.7
2025/4/24,17.2,23.3,12.8
2025/4/25,15.6,21.2,11.2
2025/4/26,15.2,23.3,8.0
2025/4/27,18.0,26.1,9.1
2025/4/28,16.3,21.9,11.7
2025/4/29,13.9,18.8,9.7
2025/4/30,16.3,25.4,7.7
2025/5/1,19.2,25.1,11.8
2025/5/2,16.7,21.6,12.2
2025/5/3,17.0,23.7,9.7
2025/5/4,18.5,23.6,12.4
2025/5/5,18.0,24.9,9.8
2025/5/6,15.4,18.3,13.5
2025/5/7,15.7,20.5,11.6
2025/5/8,17.2,25.2,8.8
2025/5/9,18.9,24.3,16.8
2025/5/10,21.2,24.6,17.1
2025/5/11,18.9,22.8,15.1
2025/5/12,17.9,23.4,14.4
2025/5/13,20.3,28.0,12.2
2025/5/14,21.7,28.6,15.0
2025/5/15,21.6,26.7,16.1
2025/5/16,22.0,25.4,18.8
2025/5/17,22.2,25.2,19.1
2025/5/18,24.3,29.8,19.8
2025/5/19,21.7,26.0,18.4
2025/5/20,24.9,31.3,17.5
2025/5/21,25.3,30.6,22.3
2025/5/22,23.1,29.7,18.2
2025/5/23,21.0,27.7,16.7
2025/5/24,19.1,20.9,17.3
2025/5/25,18.3,20.4,15.3
2025/5/26,16.7,20.4,14.3
2025/5/27,19.0,25.6,13.3
2025/5/28,22.1,27.7,16.3
2025/5/29,21.3,24.2,18.9
2025/5/30,20.9,26.7,16.7
2025/5/31,19.0,21.9,16.7
2025/6/1,18.5,22.5,15.7
2025/6/2,21.1,27.9,14.3
2025/6/3,18.9,20.8,17.6
2025/6/4,21.8,27.6,17.0
2025/6/5,22.3,30.0,15.0
2025/6/6,23.6,29.9,16.7
2025/6/7,24.5,28.9,19.2
2025/6/8,23.3,28.0,20.5
2025/6/9,21.6,26.8,18.7
2025/6/10,21.6,24.3,19.2
2025/6/11,22.6,24.9,20.9
2025/6/12,22.8,27.9,18.8
2025/6/13,24.5,31.4,17.7
2025/6/14,22.7,24.0,21.7
2025/6/15,24.5,27.0,22.7
2025/6/16,28.2,34.6,22.7
2025/6/17,29.4,34.8,25.8
2025/6/18,29.2,36.5,22.9
2025/6/19,29.1,36.1,23.7
2025/6/20,28.7,35.8,22.6
2025/6/21,28.5,34.0,24.8
2025/6/22,29.4,34.3,25.7
2025/6/23,27.4,29.8,23.3
2025/6/24,25.6,29.4,23.9
2025/6/25,28.1,33.2,24.3
2025/6/26,26.9,31.5,23.9
2025/6/27,26.9,32.6,22.9
2025/6/28,27.8,34.0,22.5
2025/6/29,29.0,36.2,22.3
2025/6/30,29.8,36.8,25.4
2025/7/1,30.7,36.6,25.5
2025/7/2,29.2,35.9,25.2
2025/7/3,28.9,35.0,24.8
2025/7/4,30.9,36.1,26.1
2025/7/5,30.6,36.1,27.3
2025/7/6,30.6,36.3,26.6
2025/7/7,31.3,37.9,26.4
2025/7/8,30.1,35.0,27.4
2025/7/9,30.8,36.8,27.0
2025/7/10,31.2,36.6,26.2
2025/7/11,30.2,36.3,26.4
2025/7/12,29.8,35.4,25.5
2025/7/13,29.1,34.6,25.2
2025/7/14,28.7,34.3,25.2
2025/7/15,29.7,35.2,25.2
2025/7/16,28.0,34.6,24.3
2025/7/17,26.1,27.2,24.7
2025/7/18,27.7,33.8,24.3
2025/7/19,29.5,34.9,24.7
2025/7/20,30.8,36.8,26.1
2025/7/21,31.6,36.7,27.6
2025/7/22,31.7,37.6,27.2
2025/7/23,31.4,37.2,27.2
2025/7/24,31.4,37.9,27.1
2025/7/25,30.3,36.8,27.4
2025/7/26,30.0,36.6,26.5
2025/7/27,30.5,37.4,25.9
2025/7/28,31.2,37.5,25.2